,sample_name,type,fold
0,4693,test,0
1,7408,test,0
2,4655,test,0
3,4461,test,0
4,5626,test,0
5,9869,test,0
6,8186,test,0
7,5986,test,0
8,2294,test,0
9,4753,test,0
10,7109,test,0
11,1534,test,0
12,1864,test,0
13,1593,test,0
14,7258,test,0
15,6910,test,0
16,7439,test,0
17,4158,test,0
18,7131,test,0
19,8360,test,0
20,6897,test,0
21,8049,test,0
22,7610,test,0
23,7665,test,0
24,6507,test,0
25,6935,test,0
26,2916,test,0
27,5056,test,0
28,1428,test,0
29,9791,test,0
30,4066,test,0
31,6811,test,0
32,8699,test,0
33,4789,test,0
34,9049,test,0
35,2691,test,0
36,9188,test,0
37,2819,test,0
38,7551,test,0
39,8180,test,0
40,2585,test,0
41,9500,test,0
42,3163,test,0
43,9644,test,0
44,3364,test,0
45,1123,test,0
46,7834,test,0
47,5607,test,0
48,8370,test,0
49,9322,test,0
50,6522,test,0
51,3997,test,0
52,6986,test,0
53,74,test,0
54,4128,test,0
55,221,test,0
56,1796,test,0
57,8779,test,0
58,897,test,0
59,5809,test,0
60,7911,test,0
61,7841,test,0
62,5393,test,0
63,2938,test,0
64,5701,test,0
65,6419,test,0
66,7301,test,0
67,5230,test,0
68,1821,test,0
69,3893,test,0
70,3919,test,0
71,2219,test,0
72,2425,test,0
73,9349,test,0
74,1443,test,0
75,2751,test,0
76,2432,test,0
77,3989,test,0
78,5568,test,0
79,8281,test,0
80,336,test,0
81,233,test,0
82,6684,test,0
83,979,test,0
84,7858,test,0
85,7663,test,0
86,5695,test,0
87,2544,test,0
88,8976,test,0
89,997,test,0
90,7119,test,0
91,5409,test,0
92,3179,test,0
93,5535,test,0
94,9101,test,0
95,2223,test,0
96,8085,test,0
97,7225,test,0
98,8042,test,0
99,4099,test,0
100,5768,test,0
101,3381,test,0
102,8311,test,0
103,2957,test,0
104,8823,test,0
105,1736,test,0
106,8170,test,0
107,2280,test,0
108,4600,test,0
109,2163,test,0
110,8638,test,0
111,5871,test,0
112,348,test,0
113,1728,test,0
114,6516,test,0
115,739,test,0
116,9030,test,0
117,3348,test,0
118,6710,test,0
119,5400,test,0
120,520,test,0
121,7702,test,0
122,6402,test,0
123,435,test,0
124,3569,test,0
125,5222,test,0
126,4963,test,0
127,5081,test,0
128,8675,test,0
129,7219,test,0
130,1896,test,0
131,1151,test,0
132,9175,test,0
133,8556,test,0
134,6465,test,0
135,4373,test,0
136,8391,test,0
137,858,test,0
138,2564,test,0
139,9681,test,0
140,238,test,0
141,5953,test,0
142,3429,test,0
143,3752,test,0
144,7349,test,0
145,7764,test,0
146,8088,test,0
147,1977,test,0
148,5132,test,0
149,8031,test,0
150,251,test,0
151,6062,test,0
152,8511,test,0
153,3274,test,0
154,5458,test,0
